book,chapter,bullets,text,para_num_tokens,bullets_num_tokens,compression_ratio
9781905832729,ch_2,The bladder operates as a low-pressure high-volume system.,"Continence is maintained by a complex interaction between the bladder, the urethra, the pelvic floor muscles, the endopelvic fascia and the nervous system. The bladder operates as a low-pressure high-volume system, pressure increasing slowly and steadily as the bladder fills, normally at a rate of 0.5-5 mL/minute. It can usually hold 500-600 mL urine. A first need to void is felt when the bladder contains 250-300 mL. Continence is maintained as long as the urethral pressure exceeds the bladder pressure.",114,13,0.11403508771929824
9781905832729,ch_2,"Urine storage and voiding are controlled by reflex centers in the spinal cord, the micturition center in the midbrain and the somatic and parasympathetic nervous systems.","During normal voiding, voluntary relaxation of the striated musculature in and around the urethra precedes contraction of the detrusor (bladder) muscle. The bladder neck and proximal urethra (often referred to as the 'bladder outlet') become funnel shaped. This relaxation/contraction combination reduces outflow resistance and increases intravesical (in the bladder) pressure, causing the bladder to be emptied forcibly. Urine storage and voiding are controlled by reflex centers in the spinal cord and the micturition center in the midbrain. Both the autonomic and somatic nervous systems are involved. The innervation of the bladder is shown in Figure 1.2. The main neurological pathways that affect bladder contraction are parasympathetic. The sacral reflex center is situated in S2 to S4, and the pelvic nerve and its branches lead from here to the detrusor muscle. Excitation of these nerves stimulates the release primarily of acetylcholine, which acts on muscarinic receptors to cause detrusor contraction.",216,38,0.17592592592592593
9781905832729,ch_2,"Voiding requires a coordinated contraction of the detrusor (bladder smooth musculature), simultaneous opening of the bladder outlet (involuntary) and relaxation of the external urethral sphincter (voluntary). Continence requires the converse.","During normal bladder filling, there is no excitatory input from the micturition center in the brain to the sacral micturition center or from the sacral micturition center to the pelvic nerves. The detrusor (bladder) is quiescent. There is a gradual increase in the tone of the external sphincter (striated muscle), mediated through impulses via the pudendal nerve. Voiding depends on coordinated excitation of the sacral parasympathetic nerves and simultaneous opening of the bladder outlet (involuntary) and relaxation of the external urethral sphincter (voluntary); continence requires the converse (Table 1.1). Storage and voluntary emptying of the bladder are also influenced by psychological and sociocultural factors. Adults are trained to void in a socially acceptable place and women may not want or like to void in any other place than their homes because of concern about unsafe or unsanitary toilet facilities. Using a toilet away from home can cause psychological stress, suppression of the desire to void and infrequent voiding. Voiding position and posture (exempli gratia squatting or sitting) used by women to empty the bladder differs by cultures or by health status. Negative perceptions of the physical environment of toilets can alter toileting stance or suppress the desire to void.",279,54,0.1935483870967742
9781905832729,ch_3,"Lower urinary tract symptoms are key in the diagnosis of bladder disorders: onset, duration and severity should be recorded.","Urologic symptoms are clearly a key aspect in the diagnosis of urinary disorders, but may not be reliable when used alone; as many have stated, the bladder may be an unreliable witness. The onset of urinary symptoms, their duration and severity, and the time(s) when they occur, should be recorded. Symptoms can be divided into filling/storage, voiding/emptying and postmicturition. Filling symptoms.",88,22,0.25
9781905832729,ch_3,"Urinary symptoms can relate to filling (frequency, nocturia, urgency), storage (stress incontinence, urgency incontinence, nocturnal enuresis) or voiding/emptying (hesitancy, intermittent stream, slow stream, terminal dribble, incomplete emptying).","Urologic symptoms are clearly a key aspect in the diagnosis of urinary disorders, but may not be reliable when used alone; as many have stated, the bladder may be an unreliable witness. The onset of urinary symptoms, their duration and severity, and the time(s) when they occur, should be recorded. Symptoms can be divided into filling/storage, voiding/emptying and postmicturition. Filling symptoms. Frequency is the complaint of voiding too often by day and is usually defined as more than eight voids per 24 hours. Increased daytime frequency can occur with a normal bladder capacity where there is excessive fluid intake, or where the bladder capacity is affected by detrusor overactivity, impaired bladder compliance (compliance refers to the tonic change in bladder pressure during filling - usually, bladder compliance is normal if there is little or no change in detrusor pressure during filling) or increased bladder sensation (hypersensitivity). The causes of daytime frequency are shown in Table 2.1. Nocturia is the complaint of waking to void one or more times during the night. It may occur for the same reasons as daytime frequency, but may also occur in association with congestive heart failure (causing nocturnal polyuria) or because the normal circadian rhythm of antidiuretic hormone (ADH; desmopressin) secretion becomes reversed.",279,60,0.21505376344086022
9781905832729,ch_3,"Other assessments include cognitive and mobility evaluation, especially in the elderly.","The strength of the pelvic floor muscles (PFM) should be assessed and can be quantified using a validated grading system such as the Oxford 1-5 scale. Factors to be assessed include strength, duration and repeatability of contractions, and displacement of the pelvic floor. Low-tone pelvic floor dysfunction refers to the examination findings of an impaired ability to isolate and contract the pelvic floor musculature in the presence of weak and atrophic musculature and is seen in women with POP, urinary or fecal incontinence, and vaginal weakness. High-tone pelvic floor dysfunction refers to the clinical condition of hypertonic spastic PFM with resultant impairment of muscle isolation, contraction and relaxation and is seen in women with interstitial cystitis/bladder pain syndrome, voiding dysfunction, overactive bladder, pelvic pain and sexual dysfunction with dyspareunia.",176,13,0.07386363636363637
9781905832729,ch_3,The effect of symptoms on quality of life can be assessed using self-completion questionnaires.,"Quality of life. There are a number of ways to assess the impact of incontinence symptoms on a patient's quality of life. However, the only valid way to measure the patient's perception of their symptoms is through the use of psychometrically robust self-completion questionnaires, such as the International Continence Society's International Consultation on Incontinence modular questionnaire (ICIQ; Figure 2.2) A wide variety of questionnaires were assessed by the Continence Society the questionnaires recommended for the assessment of quality of life for patients with urinary incontinence alone or in the presence of lower urinary tract symptoms are listed in Table 2.2.",134,19,0.1417910447761194
9781905832729,ch_3,A frequency/volume bladder record (bladder diary) is a simple and practical method to record voiding and fluid intake.,"Frequency/volume bladder record. Use of a bladder record or diary is a simple and practical method to obtain information on a patient's normal voiding pattern, including frequency and amount of micturition and episodes of leakage, in addition to the time and volume of fluid ingested. The patient records the times and volumes of all voids over a specific time period, which should be at least 24 hours so that both day and night are included. Episodes of urinary incontinence are recorded and whether they are associated with, for example, urgency, straining or coughing. Eliciting an estimate of the volume of leakage during incontinence episodes is helpful. The following descriptions of urine leakage can be used.",144,25,0.1736111111111111
9781905832729,ch_3,"Dipstick urinalysis is essential for all patients with urinary incontinence, bladder or urethral pain and is good practice in those with voiding/emptying symptoms. Positive tests should be evaluated further.","Urinalysis and culture. Dipstick urinalysis is used to detect hematuria, glycosuria, pyuria and bacteriuria. It should be carried out for all patients presenting with urinary incontinence to exclude the possibility of infection, inflammation, urinary tract malignancy and diabetes. A positive dipstick test should be followed up by formal urine microscopy and culture to detect a urinary tract infection (UTI) before treatment and to allow antibiotic sensitivity to be evaluated. The presence of hematuria or red blood cells on microscopy should be investigated further with urine cytology, an imaging study of the upper tracts (kidneys and ureters) and endoscopic examination of the bladder and urethra to rule out malignancy, especially in a patient over 50 years of age with symptoms of bladder irritation. The investigation and management of hematuria are described in detail in Chapter 6.",184,44,0.2391304347826087
9781905832729,ch_3,"Urodynamic investigation can provide a wide variety of information, but is not necessarily indicated for all patients.","Many clinicians request urodynamic investigation for any patient, especially a woman, who complains of lower urinary tract symptoms; however, the clinician may have little appreciation of the clinical indications, what the test involves and its limitations. Urodynamic investigation is safe, but men in particular may experience some discomfort related to catheterization, which can last for up to 24 hours after the test. The incidence of culture-proven UTI following urodynamic testing is approximately 1%; prophylactic antibiotics should therefore be considered for patients who may be at risk (exempli gratia immunosuppression or prosthesis implanted within last 2 years).",130,21,0.16153846153846155
