book,chapter,textrank_reduction,bullets
9781910797853,chp2,"Simplistically, they can be defined as acute or chronic, depending on the degree of hematopoietic cell differentiation on presentation and the speed with which the disease progresses, and myeloid or lymphoid, depending on the cell lineage . In addition, one type of mutation that is common in leukemia is a chromosome translocation, resulting in the formation of a novel fusion gene . The importance of identifying driver mutations such as this is underlined in CML, in which tyrosine kinase inhibitors (TKIs) such as imatinib have revolutionized the lives of patients with this condition (Figure 2.2) . The identification of chromosomal abnormalities in leukemias has resulted in appropriate treatment stratification for patients with these conditions . In contrast, patients with a complex karyotype (a karyotype with multiple chromosomal mutations) or monosomy 5 or 7 (the presence of only one chromosome 5 or 7, rather than the normal pair) have a poor response to conventional cytotoxic chemotherapy and require further consolidation treatment such as allogeneic stem cell transplantation . In CLL, patients with mutations affecting the short arm of chromosome 17 (17p) have a poor treatment response to conventional chemotherapy and are often managed with novel therapies, for example Bruton's tyrosine kinase (BTK) inhibitors such as ibrutinib . Characterization of the mutations found in large cohorts of patients with AML is providing insights into the molecular cooperativity between different mutations, and further studies may suggest how they interact . However, in both ALL and AML the leukemia is characterized by highly proliferative immature cells that are blocked from differentiating . For example, IDH2 inhibition can be achieved with enasidenib, resulting in differentiation of blasts and some clinically significant responses in patients with AML (see Chapter 5) . Significant numbers of patients with leukemia relapse with the same clone of cells as that identified at diagnosis, suggesting that a subpopulation within the clone has intrinsic treatment resistance . Relapse then occurs when this leukemic stem cell population is able to reconstitute the leukemia . Other workers have sought to identify the related counterpart to leukemic stem cells in normal hematopoiesis which, in both CML and AML, is likely to be an intermediate committed progenitor with aberrant self-renewal abilities (Figure 2.6) . As discussed at the start of this chapter, there are four main types of leukemia: AML, ALL, CML and CLL . The underlying pathophysiology in AML is the maturational arrest of early-stage myeloid progenitor cells as a result of chromosomal translocations and other genetic and/or epigenetic abnormalities (as discussed earlier in this chapter) . The traditional morphologically based classification of AML was based on the FAB criteria, which assigned patients to one of eight groups, designated M0-M7 based on morphological and cytochemical features (Table 2.1) . The underlying pathophysiology in ALL is the maturational arrest of early-stage lymphoid progenitor cells as a result of chromosomal translocations and other genetic and/or epigenetic abnormalities (as discussed earlier in this chapter) . The recognition of these different phases of disease is important as they relate to greatly differing responses to treatment (see Chapter 5), and may suggest the need for more aggressive treatment, such as stem cell transplantation .","The four main types of leukemia are acute myeloid leukemia, acute lymphoblastic leukemia, chronic myeloid leukemia and chronic lymphocytic leukemia. The acute leukemias are predominantly characterized by the uncontrolled growth of immature poorly differentiated cells that are blocked from further differentiation. The chronic leukemias are characterized by maturing proliferative later-stage cells. The main reason for the development of leukemia is the accumulation of gene mutations over time. Chromosomal translocations are common. The identification of chromosomal abnormalities aids treatment stratification in patients. New-generation sequencing technologies have revolutionized the discovery of mutations in leukemia. Malignant clonal subpopulations identified at diagnosis have also been identified at relapse. Prognosis depends on the genetic abnormalities involved, as well as other clinical factors."
9781908541086,ch_8,"Rapid identification of the condition and early intervention is of paramount importance given the definitive evidence that patients with a duration of illness of less than 1-2 years, particularly adolescents and those with reasonably functional families, have a higher chance of recovery . The evidence indicates that individual, familial, nutritional, medical and psychological aspects of anorexia should all be addressed using a comprehensive and multidisciplinary approach . The average length of hospital stay in the USA is about 1-2 weeks, with inpatient treatment limited to brief acute weight restoration and nutritional rehabilitation (Table 6.2) . The Society of Adolescent Medicine's publication of medical treatment guidelines suggests a consistent pattern of acute hospitalization for patients with anorexia (see Table 6.1) . Because of the high cost of inpatient treatment and its disruptive effect on normal adolescent life, various outpatient approaches to individual, family and group therapy have been employed in the treatment of anorexia . The literature on the comparative efficacy of various psychological approaches in anorexia is very limited (three controlled trials) and does not demonstrate any significant difference between the therapies considered . A small controlled trial evaluating the efficacy of CBT as a post-hospitalization treatment for anorexia in adults found reduced relapse rates and improved outcomes . In randomized controlled trials in patients with anorexia, CBT was not found to be superior to other types of treatment such as psychoanalytic psychotherapy, cognitive-analytic therapy, family therapy for 1 year and low-contact routine treatment . At present, the most evidence-based approach to anorexia treatment, particularly in adolescents, is family therapy . In one of the most successful treatment model interventions, the Maudsley family therapy method, developed at the Maudsley Hospital in London, UK, the parents are encouraged to take charge of the patient's eating until weight is restored and normal eating resumed . Generally, it is recommended to wait until weight is restored before administering drug treatments because eating-disorder symptoms and associated psychopathological features (such as anxiety and depression) may remit with weight gain . As yet, however, there have been only three small controlled studies supporting the efficacy of an atypical antipsychotic (olanzapine) in adults with anorexia, and only case reports and small series for adolescents with the disorder . Olanzapine can be given at 5-12.5 mg/day and is the only medication which has demonstrated an adjunctive effect for inpatient treatment of underweight women with anorexia in controlled studies; risperidone has been used at doses of 0.5-1.5 mg/day . Another study showed no benefit following weight restoration, and fluoxetine was not found to be superior to placebo for inpatients with anorexia who were also receiving behavioral therapy . Prokinetic agents (medications that improve gastric emptying), id est metoclopramide, bethanechol and domperidone, have been suggested as possible adjuvants to help patients with anorexia to eat; however, some of these drugs have a depressant effect on the central nervous system and none has been studied with a controlled design . Cyproheptadine, a serotonin and histamine antagonist that can produce weight gain in the treatment of children with asthma, has been tested for women with anorexia in two controlled studies .","Up to 40% of patients with anorexia are readmitted to the hospital at least once for weight restoration and nutritional rehabilitation; the length of stay becomes longer with each successive hospitalization. Cognitive-behavior therapy and other psychotherapeutic techniques are an integral part of most multimodal treatment programs for anorexia, for both outpatients and inpatients. Patients with anorexia can be treated with antipsychotic medication in dire situations and in crises, as these medications become effective relatively quickly. Appropriate targets are the patient's obsession regarding weight and body shape (which often resemble a delusion), extreme anxiety regarding re-feeding, and psychotic states. Some second-generation atypical antipsychotics such as olanzapine, risperidone, quetiapine and aripiprazole have a more favorable side-effect profile than the traditional antipsychotics, including a higher ratio of serotonin-to-dopamine blockade and weight gain. Tricyclic antidepressants are not recommended for the treatment of patients with anorexia because of the potential for arrhythmia at low bodyweight, a risk of lethal overdose and concern surrounding sudden death in young people. Selective serotonin-reuptake inhibitors (SSRIs) can target anxiety and depression if efficacy is not of immediate concern. They have a more manageable side-effect profile than the atypical antipsychotics, but treatment should be monitored carefully for suicidality, weight gain or loss, emotional activation and agitation. Further research is needed to establish the efficacy of SSRIs in preventing relapse in weight-restored individuals."
9781910797907,chp4,"The diagnosis of pyruvate kinase (PK) deficiency begins with an assessment of a patient's history, clinical signs/symptoms and laboratory markers of chronic hemolytic anemia . Most importantly, diagnosis is assisted by evidence of reduced PK enzyme activity together with the detection of compound heterozygous and homozygous mutations in the PKLR gene . Many different mutations in the PKLR gene have been associated with PK deficiency and about one-quarter of patients will have a novel mutation . Early onset of symptoms is usually associated with a more severe clinical course, and infants and young children can be transfusion dependent shortly after birth . As discussed in Chapter 1, anemia occasionally may be well tolerated in patients with PK deficiency because of the increased levels of 2,3-diphosphoglycerate in red blood cells (RBCs), resulting in a rightward shift in the hemoglobin-oxygen dissociation curve . Hemoglobin levels in patients with PK deficiency typically range from 6-12 g/dL and increase by about 1.6 g/dL after splenectomy . In PK-deficient patients, splenectomy usually results in a conspicuous rise in the reticulocyte count . In fact, patients with only mild clinical signs may display severely reduced PK activity and vice versa . Other factors that may give rise to false-normal levels of PK activity in PK-deficient patients include incomplete platelet and leukocyte removal during preparation of a sample for testing, compensatory expression of the PK-M2 isoenzyme (see page 14) and recent transfusions . Therefore, genotyping of the PKLR gene is strongly recommended to confirm a diagnosis of PK deficiency, particularly before splenectomy, which is contraindicated in some forms of chronic hemolytic anemia, such as hereditary stomatocytosis . With the advent of next-generation sequencing (NGS) techniques for diagnostic purposes, PKLR is typically included in gene panels designed for the diagnosis of hereditary hemolytic anemias . In fact, there are patients who are homozygous or compound heterozygous for PKLR mutations who show normal PK activity . At present, most reference centers screen for PK deficiency by measuring PK enzymatic activity and then confirm suspected PK deficiency by DNA sequence analysis of the PKLR gene . In a few centers, screening for PK deficiency is initially performed by NGS panels and then (in the case of an identified novel mutation) confirmed by PK enzymatic activity . The severe phenotype was commonly associated with disruptive mutations (id est stop codon, frameshift, splicing and large deletions) and with missense mutations directly involving the active site or affecting protein stability . The very few patients with homozygous 'null' mutations (resulting in the absence of a functional protein) displayed intrauterine growth retardation, severe anemia at birth, transfusion dependence and, in rare cases, intrauterine death or death in the first days of life . As shown in Table 2.1, the most frequent mutation associated with the moderate phenotype is 1529GàA (commonly found in white American and northern European populations and resulting in the production of glutamine instead of arginine) in either homozygous or compound heterozygous presentations . The NM/NM group had a more severe phenotype, with earlier diagnosis, more severe anemia, a higher rate of splenectomy, a greater need for transfusion and higher ferritin levels .","Pyruvate kinase (PK) deficiency should be considered in patients with signs/symptoms and laboratory findings of chronic hemolytic anemia (including those with mild anemia), reticulocytosis, jaundice, unconjugated hyperbilirubinemia, gallstones and splenomegaly. The diagnosis of PK deficiency is made by measuring PK enzymatic activity in red blood cell lysates by spectrophotometric assay. The diagnosis should be confirmed by the demonstration of known causative PKLR mutations in homozygous or compound heterozygous presentations."
9781910797907,chp1,"Pyruvate kinase (PK) deficiency is the most common enzyme deficiency affecting the glycolytic pathway used by red blood cells (RBCs) to generate energy . Mature RBCs lack a nucleus, ribosomes and mitochondria: as a result, they are incapable of cell division and protein synthesis, and are unable to generate energy through oxidative phosphorylation, as occurs in other cell types . Under normal conditions, approximately 90% of glucose metabolism in RBCs occurs via the glycolytic pathway, with 5-10% metabolized via the HMP shunt . The key product of the HMP shunt is NADPH, the reduced form of nicotinamide adenine dinucleotide phosphate . The HMP shunt is the only source of NADPH in RBCs, and under conditions of increased oxidative stress the amount of glucose entering the shunt can rise significantly . The most common enzyme disorder of RBCs in humans is glucose-6-phosphate dehydrogenase (G6PD) deficiency . This X-linked disorder affects more than 400 million people globally and disrupts the conversion of glucose-6-phosphate to 6-phosphogluconate in the HMP shunt (see Figure 1.1) . In contrast to G6PD deficiency, hemolytic anemias resulting from disorders of glycolytic enzymes are relatively rare, affecting only a few thousand individuals worldwide . While abnormalities in virtually every enzyme involved in the glycolytic pathway have been described, PK deficiency is the most common associated with hemolysis, accounting for more than 90% of cases . Pyruvate kinase deficiency impairs normal glucose metabolism, resulting in inadequate ATP (energy) production by RBCs . In severely affected RBCs, the reduced levels of ATP lead to cell injury, a loss of membrane plasticity and the formation of rigid RBCs, which are destroyed in the spleen and liver . In some PK-deficient patients with high reticulocyte counts, ATP levels may be normal or even elevated . Since reticulocytes retain mitochondria, PK-deficient reticulocytes are able to generate ATP by mitochondrial oxidative phosphorylation rather than relying solely on the glycolytic pathway . The availability of oxygen and glucose within the spleen is limited, restricting the ability of PK-deficient reticulocytes to produce ATP via oxidative phosphorylation . PK deficiency also results in a build-up of 2,3-DPG, an intermediate product of the glycolytic pathway (see Figure 1.1) . Consequently, patients with PK deficiency anemia may tolerate lower levels of hemoglobin than people with other forms of anemia in which 2,3-DPG is not elevated . Most glycolytic enzyme disorders are inherited in an autosomal recessive manner (the exception is phosphoglycerate kinase deficiency, which is an X-linked disorder) . Individuals who are heterozygous for a mutation almost always show no hematologic abnormalities, although the level of enzyme activity within their RBCs is reduced . Instead, most individuals with hemolytic anemia due to a deficiency in a glycolytic enzyme are heterozygous for two different enzyme variants . More generally, the hemolysis resulting from an enzyme deficiency can manifest as chronic anemia of varying severity, reticulocytosis and some degree of indirect hyperbilirubinemia . PK deficiency was originally thought to result from decreased production of a structurally normal enzyme . In one severe form of PK deficiency (PK Beppu), the PK-M2 isozyme persists in mature erythrocytes .","Normal mature red blood cells (RBCs) rely on the breakdown of glucose via the glycolytic pathway to produce energy. The hexose monophosphate shunt protects RBCs from oxidant damage. Pyruvate kinase (PK) deficiency affects the penultimate step of the glycolytic pathway, impairing the conversion of phosphoenolpyruvate to pyruvate, and reducing the amount of energy produced by RBCs. PK deficiency is inherited in an autosomal recessive manner and is the most common glycolytic defect associated with hemolysis."
9781908541963,chapter5,"primary biliary cirrhosis (PBC), which affects the microscopic bile ducts . primary sclerosing cholangitis (PSC), which can involve any elements of the intrahepatic and extrahepatic biliary system . AIH and PBC are predominantly autoimmune diseases, but the categorization is less clear-cut with PSC . Some diagnostic confusion can occur because of the existence of 'overlap syndromes' or histological progression from apparent AIH to either PBC or PSC . AIH is a chronic inflammatory liver disease of at least 6 months' duration . The classic finding on liver histology is portal inflammation, with plasma cells and lymphocytes spilling over into the lobule in a pattern called interface hepatitis (Figure 5.1) . AIH can present as an acute hepatitis-like illness, with jaundice and a laboratory profile showing hyperbilirubinemia and a marked elevation in serum aminotransferases (transaminases) . Alternatively, patients may present with established cirrhosis in the absence of any previous episode of jaundice or other symptoms alerting to the presence of chronic hepatitis . These patients may present with liver failure or complications of portal hypertension . However, the intensity of necro-inflammatory activity may be understated by the serum aminotransferase levels, and repeat biopsy is recommended to confirm disease remission or if withdrawal of immunosuppressive therapy is being considered . Flares in disease activity occur in patients on stable long-term therapy and after reductions in drug dose . Liver transplantation is an effective therapy for advanced disease . However, a liver biopsy may be of value in staging the severity of the disease . The cause of the itch is unclear, but it responds in many cases to therapies that deplete bile salts (exempli gratia colestyramine [cholestyramine]) . Hypothyroidism develops in up to 20% of patients with PBC, so it is important to screen regularly for this as a cause of the lethargy . Encephalopathy is less common than in other causes of end-stage chronic liver disease . Liver transplantation is still the only effective treatment for advanced PBC . There is evidence that PBC recurs in the transplanted liver, but this phenomenon appears to be of little clinical relevance in the first 10-15 years after transplantation . The diagnosis of PSC may be suggested by the detection of elevated cholestatic enzymes, particularly alkaline phosphatase, on routine screening of patients with inflammatory bowel disease . Screening for malignant transformation is not effective in detecting early disease, and progression to cholangiocarcinoma is generally regarded as a contraindication to liver transplantation . This ameliorates pruritus, improves the liver biochemistry and histology and may alter the natural history of the disease . Liver transplantation is used widely for advanced disease . Diagnostic confusion may arise in some patients who manifest features of more than one autoimmune disease . Patients with early PBC may have florid interface hepatitis on liver biopsy, but this should not be confused with AIH . Other patients have features of AIH and a cholangiopathy, and these are considered to have an 'overlap syndrome' or autoimmune cholangiopathy . These patients are managed as if they had both diseases (id est with corticosteroids and UDCA) .","Autoimmune liver disease can target the hepatocyte or any element of the bile duct system. Autoimmune hepatitis (AIH) is potentially treatable if diagnosed before the development of cirrhosis. Primary biliary cirrhosis (PBC) is a slowly progressive disease, with a presymptomatic period of up to 20 years. Liver transplantation is an excellent treatment for end-stage AIH and PBC. Primary sclerosing cholangitis is strongly associated with ulcerative colitis and is unpredictable; late disease can be managed effectively with liver transplantation unless complicated by cholangiocarcinoma."
9781910797273,chp9,"Multiple sclerosis (MS) can almost span a lifetime: average time from disease onset to death is 48 years . Use of disease-modifying therapies (DMTs; see Chapter 5) may reduce time to secondary progression, and there is soft evidence of a positive effect on all-cause mortality from the long-term (21-year) follow up of patients randomized to interferon beta (IFNbeta)-1b in the pivotal Phase III trial of that therapy . Death is usually caused by a complication rather than as a direct result of a MS exacerbation (Table 9.1) . However, secondary progression ensues in up to 75% of patients with relapsing remitting disease and is marked by inexorable decline that is unaffected by current approved treatments . Some medications under review may decrease disease progression, potentially reducing long-term disability and mortality risk . A cohesive multidisciplinary team (see Chapter 8) is important to effectively manage this phase of the disease . Neuropsychiatric complications, including depression and cognitive impairment, can limit or impede interactions with healthcare services . Early intervention from the palliative care team can be highly beneficial to the patient's quality of life . As far as possible, control over the effects of the disease process should remain with the patient . The World Health Organization states that palliative care is an approach that improves the quality of life of patients and families facing the problems associated with life-threatening illness, through the prevention and relief of suffering by means of early identification and impeccable assessment and treatment of pain and other problems - physical, psychosocial and spiritual . Palliative care is commonly perceived as a type of care only available at the end stages of a disease, usually cancer . Aspects of MS that may benefit from the input of the palliative care team are shown in Table 9.2 . People with MS who are no longer mobile are at risk of developing pressure sores . Multidisciplinary management should involve the nutritionist, to ensure the provision of adequate nutrition to maintain healthy skin, and the tissue viability specialist team who will advise on mattresses, cushions and appropriate dressings to help minimize the risk of pressure sore development . When dysphagia, apathy from depression or cognitive impairment develops, people with MS may not be able to maintain their nutritional intake . However, the decision to proceed with PEG feeding is complex and reflects the individual's experience and quality of life . This decision is often included in an advance directive (see below) . As individuals may reach a point where they are no longer deemed to have the capacity to make decisions about their own care, these decisions clearly need to be made in advance . The legal power of these documents varies from one jurisdiction to another, but advance directives are a vital part of the decision-making process (Table 9.3) . Lasting (UK), enduring (Australia) or durable (USA) power of attorney is an alternative to an advance directive, whereby a person with MS can appoint a person to make decisions regarding their care once they are no longer able to .","Natural history studies suggest that life expectancy of people with multiple sclerosis (MS) is reduced by 6-7 years compared with unaffected individuals, and comorbidities further increase the risk of mortality in people with MS. The average time from disease onset to mortality is 48 years. Early introduction of disease-modifying therapy may positively affect long-term mortality. Palliative care offers patients improved quality of life in the later stages of the disease. Advance planning can help people with MS achieve the control they need in late disease."
9781910797587,chp04,"In more recent studies, using weight-bearing radiographic protocols, two quite potent risk factors for progression have been identified - limb malalignment and the MRI feature of bone-marrow lesions . It demonstrated that, at a molecular genetic level, OA risk is not the same at different joint sites, id est a polymorphism can be associated with hip OA but not knee OA . Epigenetics has also developed as a new and important area of OA research over the past decade, with studies mainly focusing on microRNAs and DNA methylation levels for genes implicated in OA in articular cartilage, primary chondrocytes and transformed chondrogenic cell lines . A number of studies have demonstrated an association between increased bodyweight and OA of the knee (clinical and structural), but the association with hip OA is weaker; surprisingly, an association with hand OA may also exist, albeit less robust, suggesting systemic factors other than mechanical loading may be important . Obesity is associated with increased levels of adipokines (cytokines derived from adipose tissue), which may confer an inflammatory risk factor on synovial joints . Studies have suggested a generalized increase in bone mass in women with OA of the hands, adding to theories on the role of subchondral bone in the pathogenesis of OA . Lower levels of vitamin D (an essential component of normal bone biology) have been associated with a greater risk of knee OA progression in some studies, but the association remains controversial . There is good epidemiological evidence, including some longitudinal studies, of association between certain occupations and OA incidence, especially of the hip, knee and hands . The knee joint has probably been best studied in this regard, especially in athletes in whom repetitive high-weight loading is associated with increased rates of OA . A history of joint injury is the most significant risk factor for the later development of OA of the knee and also of the hip . Although there are few good longitudinal studies in this area, it appears that for certain high-impact sports (exempli gratia football) at the elite level (id est national/international competition) there is an associated increased risk of OA after adjusting for injury . Several studies suggest that recreational physical and athletic activity (not at the elite level) does not increase the risk of developing knee OA in a healthy joint . Clinical studies in women with OA of the hands have looked at bone taken from non-weight-bearing sites distant from the involved joints and have demonstrated a generalized increase in bone mass . Other studies have confirmed increased BMD in patients with generalized OA, and demonstrated quantitative and qualitative changes in the degree of mineralization and growth factor content of bone . Traditional research into structure-pain associations relied on the conventional radiograph, which predominantly images only bone and a surrogate measure of cartilage (the joint space) . MRI studies have shown the following abnormalities to be related to knee pain, though it should be noted that even these pathologies have only weak pain associations .","The osteoarthritis (OA) phenotype represents a common endpoint of multiple insults that result in failure of the joint. The findings of genome-wide association studies and research into the epigenetics of OA have the potential to identify new etiologic pathways and OA phenotypes, diagnostic and prognostic biomarkers and therapeutic targets. The risk factors differ for incidence and progression. There are multiple potential peripheral sources of pain in the pathological OA joint, but the role of spinal and central pain pathways has not been well explored."
9781908541680,ch_11,"A plethora of online tools, publications and weight-loss programs are available for the management of obesity at both an individual level in clinical practice and on a larger scale within the community, and evidence of their effectiveness is beginning to emerge . org) is a community multidisciplinary program for overweight and obese children and their families, currently in use in the USA . It places equal emphasis on (M)ind, (E)xercise, (N)utrition and (D)iet (although the 'D' now stands for 'do it!'), combining all the elements known to be vital in treating and preventing overweight or obesity in children, including family involvement, practical education in nutrition and diet, increasing physical activity and behavioral change . There are a variety of 10-week programs aimed at different age groups (2-4, 5-7, 7-13 and teens) comprising either one or two sessions a week in which participants learn about, for example, portion sizes, nutrition and healthy eating alongside enjoyable active play . Wittert), to help health professionals with the management of obese and overweight patients . tools tailored to health professionals (evidence-based information, links to peer-reviewed articles, practical management tips) and patients (fact sheets, food and activity diaries, healthy eating guides) . practical and effective lifestyle programs, including nutrition, activity, behavior management and counseling . Following the initial consultation, the patient's history, management plan and progress to date can be reviewed at each visit, and weight and waist circumference updated . Rather than using a linear approach, the OBEMAN program allows management to start at any point (diet, physical activity, education, etc . org) is an evidence-based weight management program for use in primary care . The model is based on weight management advisers: dietitians specializing in obesity management who train and support primary practice staff to incorporate the program into existing healthcare services . The objective of the Counterweight program is to achieve and maintain a medically valuable weight loss of 5-10% for as many people as possible, starting with lifestyle intervention . Although developed for implementation in primary care trusts, Counterweight can be adapted for use in other settings - in Scotland there is some interest in providing the service through community pharmacy . Counterweight Plus was developed as a non-surgical weight management program for individuals with greater weight loss needs, commencing with a total diet replacement of 810 kcal followed by stepped food reintroduction and weight loss maintenance . In total, 62% of patients with an initial BMI of > 40kg/m completed the liquid diet phase and achieved a mean weight loss of 17.4 kg . EPODE is an obesity prevention program that aims to integrate healthier lifestyles into daily life . The integration of nutritional education into the school curriculum, for example, can change the dietary behavior of children and their families . For example, if you have children at school join the Parent Teacher Association and ensure that the school has a healthy food and drink environment, provides plenty of opportunities for physical activity, and includes education on health and nutrition and the importance of physical activity on the curriculum .","There are successful models for every stage of obesity, including prevention, childhood obesity and the treatment and management of adult obesity. There is robust evidence indicating the effectiveness of the MEND program for children and the Counterweight program for adults. The obesity prevention program EPODE has had proven success with a whole-community approach to the integration of healthier lifestyles into daily life, including the addition of nutritional education to school curriculums. Since water is the appropriate drink for hydration, a tax on all sugar-containing/carbonated drinks is probably the most logical fiscal measure that governments could implement to tackle obesity. Health professionals have an ethical and moral obligation, and the opportunity, to promote public health as well as taking care of individual patients."
9781912776238,ch9,"This and the following chapter summarize the important special issues that arose in approving these biosimilars, as discussed in European Public Assessment Reports (EPARs) and the US Food and Drug Administration (FDA) Oncology Drug Advisory Committee (ODAC) briefings and discussions . The need for epoetin biosimilars is underlined by forecasts suggesting that the increasing incidence of cancer, chronic kidney disease, and anemia associated with HIV will drive annual growth of 11.5% . Outbreaks of epoetin-associated pure red cell aplasia (PRCA; Table 9.2) followed formulation changes to reference epoetin alfa in Europe (Eprex) . The US FDA issued a Public Health Advisory and a clinical alert over the use of epoetins in cancer patients following a higher proportion of deaths in the epoetin arms of trials looking to expand the label into prevention of anemia associated with chemotherapy (which differs from treatment of established anemia) and as a sensitizer for curative radiation therapy . As a result, the label for treating anemia associated with cancer chemotherapy was 'black boxed' in the USA, and the EMA issued a drug alert and mandated a Risk Evaluation and Mitigation Strategy (REMS) . Process changes to darbepoetin (hyperglycosylated long-acting epoetin alfa) resulted in analytic differences between what the EMA called 'darbepoetin alfa RB' and 'darbepoetin alfa HT' that required Phase I pharmacokinetics, Phase III efficacy/safety and Phase IV clinical confirmatory studies for continuing European approval . The immunogenicity of biosimilar epoetin was assessed for comparability in analytics and clinical confirmatory studies . An updated meta-analysis of more than 60 randomized trials assessed for the REMS program showed that the association of poorer outcomes with epoetin was confined to off-label trials looking to extend approved indications rather than the core indication of treatment of symptomatic chemotherapy-induced anemia and avoidance of transfusion . As a result, biosimilar epoetin alfa Retacrit was approved by 14 votes to 1 and the FDA closed the REMS program for treating patients with anemia related to associated myelosuppressive chemotherapy . The probability of discovering a clinically meaningful difference between reference and biosimilar brands is likely to be greater in volunteers with normal bone marrow function than in cancer patients treated with cytotoxic chemotherapy and radiotherapy - this was seriously proposed as the confirmatory clinical study for a pegfilgrastim biosimilar to the US regulator by one biosimilar maker . A month prior to the meeting, Pioneer trial data released at the annual meeting of the American Society of Hematology (ASH) showed no loss of efficacy when six sequential brand switches were applied to G-CSF-Zarxio and reference Neupogen during docetaxel (Taxotere), adriamycin and cyclophosphamide (TAC) chemotherapy in 218 patients with breast cancer . The third comparison is between the 96 patients in arms 1 and 4 who remain on the same brand of filgrastim through chemotherapy and the 96 patients in arms 2 and 3, who switch brands on each alternate chemotherapy cycle; this explores whether brand switching leads to loss of efficacy or increased toxicity (especially immunogenicity), and anticipated the US regulator's requirement for clinical data to support a further label as an 'interchangeable biosimilar' .","No biosimilar has been approved for which comparable immunogenicity in regulatory studies has not predicted real-world outcomes in more than 10 years of European experience. For epoetin, comparable composite outcomes were found in more than 13 000 patients treated with reference or biosimilar epoetins and erythropoiesis-stimulating agents, which reassured the regulator about the safety of biosimilar epoetin for symptomatic chemotherapy-induced anemia. The design of the four-arm Pioneer study allowed data collection for participants who switched from originator to biosimilar filgrastim or vice versa on each round of chemotherapy, in anticipation of regulatory requirements to demonstrate interchangeability."
9781908541062,ch_8,"First, which patients with inflammatory synovitis of recent onset will develop chronic and progressive, as opposed to mild and self-limiting, disease? The 2010 American College of Rheumatology (ACR)/European League Against Rheumatism (EULAR) criteria have been developed to help predict the development of chronic and damaging synovitis in individuals with recent-onset inflammatory arthritis (see Chapter 5) . For example, a swollen-joint count and a measure of the acute-phase response provide useful objective measures . At this stage of the disease, it usually reflects the degree of joint inflammation, although later the cumulative effects of damage to tendons, ligaments, cartilage and bone contribute more (Figure 7.1) . Therefore, in accordance with the variable manifestations and outcomes of RA, composite assessment criteria have been devised, although debate continues regarding the 'minimal data set' needed to provide a reliable picture of the individual patient . The ACR response criteria were designed for assessing outcomes in the clinical trials setting . These measure changes from baseline in the number of tender and swollen joints, acute-phase response, a functional measure (exempli gratia HAQ score), visual analog scale for pain, and global assessment of disease by patient and physician, also on a visual analog scale . In contrast, the disease activity score (DAS; Figure 7.3) provides a continuous variable which does not require reference to a baseline . The DAS is a complex measure that was derived by studying a number of disease activity criteria in patients with variable disease activity, and applying assorted statistical measures, including discriminant analysis and multiple regression analysis . The former is a simple numerical sum of joint counts, patient and clinician global assessments and C-reactive protein (CRP); the latter removes CRP from the calculation, providing a 'bedside' composite score . Many patients can also reliably perform their own joint counts, providing further self-assessment information . Functional impairment in chronic RA is influenced by the amount of joint damage (see Figure 7.1) . In essence, these quantify radiographic change in a number of prespecified joints of the hands (and the feet in the modified Sharp score) to provide a single score . The rate of progression and severity of joint damage are both relevant to functional impairment . Some of these assays are starting to provide useful information in the clinical trial setting, when applied to groups of patients receiving different treatments . Currently, however, none has sufficient sensitivity or specificity to be applied routinely in the clinic to provide an index of tissue damage for the individual patient . Thus, synovitis may be present on MRI or HRUS in the absence of clinically detectable inflammation, and may underlie the progression of joint damage in some patients during apparent clinical 'remission' . RA can still result in severe disability and a dependent existence, but increasingly effective drugs and management strategies have improved the outlook for the majority of patients . It is not possible to provide a completely accurate picture for each patient, but a number of prognostic factors have now been defined .","Rheumatoid arthritis can be assessed using objective clinical scores such as swollen-joint counts, biochemical and radiological parameters such as acute-phase response and joint X-rays, and subjective measures of pain, function and participation. Most information is captured in composite scores such as the disease activity score (DAS). Quality of life is of overriding importance to the patient, and should always be considered during routine assessments. A number of patient-reported outcome measures (PROMs) are being developed that quantify symptoms such as fatigue and sleep."
